datetime,symbol,open,high,low,close,volume
2023-01-14 02:13:00,NASDAQ:TSLA,122.0,122.2,122.0,122.1,11145.0
2023-01-14 02:14:00,NASDAQ:TSLA,122.12,122.2,122.12,122.2,7724.0
2023-01-14 02:15:00,NASDAQ:TSLA,122.2,122.36,122.05,122.11,19561.0
2023-01-14 02:16:00,NASDAQ:TSLA,122.12,122.23,121.93,121.995,12565.0
2023-01-14 02:17:00,NASDAQ:TSLA,121.97,122.01,121.87,121.94,4775.0
2023-01-14 02:18:00,NASDAQ:TSLA,121.93,122.06,121.885,121.96,4916.0
2023-01-14 02:19:00,NASDAQ:TSLA,121.94,122.08,121.93,121.95,6636.0
2023-01-14 02:20:00,NASDAQ:TSLA,121.95,122.06,121.95,122.01,5897.0
2023-01-14 02:21:00,NASDAQ:TSLA,122.02,122.16,121.96,122.03,8413.0
2023-01-14 02:22:00,NASDAQ:TSLA,122.05,122.14,121.99,122.08,6031.0
2023-01-14 02:23:00,NASDAQ:TSLA,122.09,122.18,122.04,122.14,5388.0
2023-01-14 02:24:00,NASDAQ:TSLA,122.14,122.33,122.13,122.3,9016.0
2023-01-14 02:25:00,NASDAQ:TSLA,122.31,122.33,122.1,122.1,16231.0
2023-01-14 02:26:00,NASDAQ:TSLA,122.09,122.13,121.97,122.055,7327.0
2023-01-14 02:27:00,NASDAQ:TSLA,122.05,122.05,121.83,121.88,12261.0
2023-01-14 02:28:00,NASDAQ:TSLA,121.9,122.06,121.88,121.92,11360.0
2023-01-14 02:29:00,NASDAQ:TSLA,121.92,122.02,121.92,121.99,5987.0
2023-01-14 02:30:00,NASDAQ:TSLA,121.98,122.015,121.88,121.92,14458.0
2023-01-14 02:31:00,NASDAQ:TSLA,121.92,121.97,121.72,121.78,19373.0
2023-01-14 02:32:00,NASDAQ:TSLA,121.75,121.84,121.68,121.72,9986.0
2023-01-14 02:33:00,NASDAQ:TSLA,121.71,121.83,121.7,121.83,8217.0
2023-01-14 02:34:00,NASDAQ:TSLA,121.825,121.93,121.79,121.9,9182.0
2023-01-14 02:35:00,NASDAQ:TSLA,121.94,122.0,121.86,121.95,11736.0
2023-01-14 02:36:00,NASDAQ:TSLA,121.95,122.06,121.89,121.92,20148.0
2023-01-14 02:37:00,NASDAQ:TSLA,121.93,122.09,121.93,122.02,12278.0
2023-01-14 02:38:00,NASDAQ:TSLA,122.01,122.05,122.0,122.03,8748.0
2023-01-14 02:39:00,NASDAQ:TSLA,122.01,122.24,122.0,122.16,33994.0
2023-01-14 02:40:00,NASDAQ:TSLA,122.16,122.32,122.16,122.24,45539.0
2023-01-14 02:41:00,NASDAQ:TSLA,122.24,122.38,122.24,122.3,23164.0
2023-01-14 02:42:00,NASDAQ:TSLA,122.32,122.49,122.3,122.47,27151.0
2023-01-14 02:43:00,NASDAQ:TSLA,122.47,122.62,122.39,122.4,45801.0
2023-01-14 02:44:00,NASDAQ:TSLA,122.4,122.5,122.37,122.37,41714.0
